dataset,method,variant,top_k,classifier,run,OA,kappa,f1_macro
ksc,DRL,full_sequential,10,3DCNN,2,90.96732863549008,0.8993930700835386,82.35774033463498
ksc,DRL,full_sequential,10,3DCNN,3,95.51569506726457,0.9500891607561125,91.9109977476155
ksc,DRL,full_sequential,10,3DCNN,4,93.52978859705317,0.9279824995751881,87.93889766072394
ksc,DRL,random_selection,10,3DCNN,0,87.63613068545804,0.8619652449294141,80.97547999213
ksc,DRL,random_selection,10,3DCNN,1,92.82511210762333,0.9200914483790629,86.60742678977591
ksc,DRL,random_selection,10,3DCNN,2,96.22037155669443,0.9579096065853672,93.64719879834382
ksc,DRL,random_selection,10,3DCNN,3,92.18449711723254,0.9130408576737076,85.74507329099853
ksc,DRL,random_selection,10,3DCNN,4,93.4657270980141,0.9272389773370677,89.63467894099801
montana,SRPA,full_lambda0.3,30,3DCNN,0,50.43859649122807,0.2578851859319642,36.69052843845547
montana,SRPA,full_lambda0.3,30,3DCNN,1,50.877192982456144,0.27680543755310116,41.36502064179016
montana,SRPA,full_lambda0.3,30,3DCNN,2,48.68421052631579,0.23641047659939884,39.491412173516935
montana,SRPA,full_lambda0.3,30,3DCNN,3,46.49122807017544,0.18737949167397028,29.026608395365283
montana,SRPA,full_lambda0.3,30,3DCNN,4,52.63157894736842,0.3036002149382052,43.29876795651028
montana,SRPA,no_redundancy_lambda0,30,3DCNN,0,52.63157894736842,0.3038167938931299,38.652502904443025
montana,SRPA,no_redundancy_lambda0,30,3DCNN,1,50.877192982456144,0.2681416943712026,39.6873318659819
montana,SRPA,no_redundancy_lambda0,30,3DCNN,2,46.49122807017544,0.21605321007834966,36.65101603245933
montana,SRPA,no_redundancy_lambda0,30,3DCNN,3,49.122807017543856,0.23611472142795253,37.04154376007923
montana,SRPA,no_redundancy_lambda0,30,3DCNN,4,51.75438596491229,0.2879854644560528,41.29493703955601
montana,DRL,full_sequential,15,3DCNN,0,55.70175438596491,0.35203579166549426,45.610968884263166
montana,DRL,full_sequential,15,3DCNN,1,53.07017543859649,0.3057681910019635,48.424938348432455
montana,DRL,full_sequential,15,3DCNN,2,47.80701754385965,0.24021282553906476,37.81088454318543
montana,DRL,full_sequential,15,3DCNN,3,46.92982456140351,0.21560376446504226,35.143693754804865
montana,DRL,full_sequential,15,3DCNN,4,53.07017543859649,0.29706678960410304,39.194005541806796
montana,DRL,random_selection,15,3DCNN,0,54.824561403508774,0.3492032700568103,45.81200835607822
montana,DRL,random_selection,15,3DCNN,1,49.56140350877193,0.2609712787846331,37.29175060695284
montana,DRL,random_selection,15,3DCNN,2,51.31578947368421,0.2871186727134447,48.20761242745291
montana,DRL,random_selection,15,3DCNN,3,45.17543859649123,0.20364367944562423,32.720098440810155
montana,DRL,random_selection,15,3DCNN,4,51.31578947368421,0.28522608523738235,43.21067073198846
paviaU,SRPA,full_lambda0.3,30,3DCNN,0,97.87335722819593,0.9721010214532386,97.27842374321052
paviaU,SRPA,full_lambda0.3,30,3DCNN,1,98.10434090003982,0.9750352601708304,97.17301045904522
paviaU,SRPA,full_lambda0.3,30,3DCNN,2,92.75189167662286,0.9048022167846264,89.02787691623045
paviaU,SRPA,full_lambda0.3,30,3DCNN,3,98.31142970927917,0.9778019139362841,97.50351285985653
paviaU,SRPA,full_lambda0.3,30,3DCNN,4,97.00517722023099,0.9608287125201995,96.26076076369482
paviaU,SRPA,no_redundancy_lambda0,30,3DCNN,0,97.6184786937475,0.9686760734280311,96.64723924670233
paviaU,SRPA,no_redundancy_lambda0,30,3DCNN,1,97.14854639585823,0.962509398737066,96.10167301680124
paviaU,SRPA,no_redundancy_lambda0,30,3DCNN,2,97.08482676224611,0.961411517841428,96.32491572695636
paviaU,SRPA,no_redundancy_lambda0,30,3DCNN,3,89.29510155316606,0.8639529957871347,91.96462407729997
paviaU,SRPA,no_redundancy_lambda0,30,3DCNN,4,95.20509757068896,0.9362959934673917,94.48497156243167
